city,year,weekofyear,total_cases
sj,2008,18,0
sj,2008,19,0
sj,2008,20,0
sj,2008,21,0
sj,2008,22,1
sj,2008,23,2
sj,2008,24,3
sj,2008,25,6
sj,2008,26,8
sj,2008,27,10
sj,2008,28,11
sj,2008,29,13
sj,2008,30,18
sj,2008,31,25
sj,2008,32,32
sj,2008,33,36
sj,2008,34,39
sj,2008,35,40
sj,2008,36,41
sj,2008,37,44
sj,2008,38,47
sj,2008,39,52
sj,2008,40,56
sj,2008,41,60
sj,2008,42,61
sj,2008,43,59
sj,2008,44,56
sj,2008,45,53
sj,2008,46,53
sj,2008,47,53
sj,2008,48,51
sj,2008,49,45
sj,2008,50,37
sj,2008,51,29
sj,2008,52,24
sj,2009,1,23
sj,2009,2,24
sj,2009,3,23
sj,2009,4,22
sj,2009,5,19
sj,2009,6,15
sj,2009,7,13
sj,2009,8,11
sj,2009,9,10
sj,2009,10,9
sj,2009,11,7
sj,2009,12,5
sj,2009,13,3
sj,2009,14,2
sj,2009,15,1
sj,2009,16,1
sj,2009,17,0
sj,2009,18,0
sj,2009,19,0
sj,2009,20,0
sj,2009,21,1
sj,2009,22,2
sj,2009,23,3
sj,2009,24,4
sj,2009,25,6
sj,2009,26,9
sj,2009,27,10
sj,2009,28,12
sj,2009,29,14
sj,2009,30,18
sj,2009,31,25
sj,2009,32,32
sj,2009,33,37
sj,2009,34,39
sj,2009,35,41
sj,2009,36,42
sj,2009,37,44
sj,2009,38,48
sj,2009,39,52
sj,2009,40,56
sj,2009,41,60
sj,2009,42,62
sj,2009,43,61
sj,2009,44,57
sj,2009,45,54
sj,2009,46,54
sj,2009,47,54
sj,2009,48,52
sj,2009,49,48
sj,2009,50,40
sj,2009,51,31
sj,2009,52,26
sj,2010,53,24
sj,2010,1,25
sj,2010,2,25
sj,2010,3,23
sj,2010,4,20
sj,2010,5,17
sj,2010,6,14
sj,2010,7,12
sj,2010,8,11
sj,2010,9,10
sj,2010,10,8
sj,2010,11,6
sj,2010,12,4
sj,2010,13,3
sj,2010,14,2
sj,2010,15,2
sj,2010,16,1
sj,2010,17,1
sj,2010,18,1
sj,2010,19,1
sj,2010,20,2
sj,2010,21,3
sj,2010,22,4
sj,2010,23,5
sj,2010,24,7
sj,2010,25,9
sj,2010,26,11
sj,2010,27,12
sj,2010,28,14
sj,2010,29,18
sj,2010,30,24
sj,2010,31,31
sj,2010,32,37
sj,2010,33,40
sj,2010,34,41
sj,2010,35,43
sj,2010,36,45
sj,2010,37,48
sj,2010,38,52
sj,2010,39,56
sj,2010,40,60
sj,2010,41,63
sj,2010,42,62
sj,2010,43,59
sj,2010,44,56
sj,2010,45,55
sj,2010,46,55
sj,2010,47,54
sj,2010,48,50
sj,2010,49,42
sj,2010,50,34
sj,2010,51,28
sj,2011,52,25
sj,2011,1,25
sj,2011,2,26
sj,2011,3,24
sj,2011,4,22
sj,2011,5,19
sj,2011,6,16
sj,2011,7,14
sj,2011,8,12
sj,2011,9,11
sj,2011,10,10
sj,2011,11,7
sj,2011,12,5
sj,2011,13,4
sj,2011,14,3
sj,2011,15,3
sj,2011,16,3
sj,2011,17,2
sj,2011,18,2
sj,2011,19,2
sj,2011,20,3
sj,2011,21,4
sj,2011,22,4
sj,2011,23,6
sj,2011,24,8
sj,2011,25,10
sj,2011,26,12
sj,2011,27,13
sj,2011,28,15
sj,2011,29,18
sj,2011,30,24
sj,2011,31,31
sj,2011,32,37
sj,2011,33,41
sj,2011,34,42
sj,2011,35,43
sj,2011,36,45
sj,2011,37,48
sj,2011,38,52
sj,2011,39,57
sj,2011,40,61
sj,2011,41,63
sj,2011,42,63
sj,2011,43,61
sj,2011,44,57
sj,2011,45,56
sj,2011,46,56
sj,2011,47,55
sj,2011,48,52
sj,2011,49,45
sj,2011,50,36
sj,2011,51,30
sj,2012,52,27
sj,2012,1,26
sj,2012,2,27
sj,2012,3,26
sj,2012,4,23
sj,2012,5,20
sj,2012,6,17
sj,2012,7,15
sj,2012,8,14
sj,2012,9,12
sj,2012,10,11
sj,2012,11,9
sj,2012,12,7
sj,2012,13,5
sj,2012,14,4
sj,2012,15,4
sj,2012,16,4
sj,2012,17,3
sj,2012,18,3
sj,2012,19,3
sj,2012,20,4
sj,2012,21,5
sj,2012,22,5
sj,2012,23,6
sj,2012,24,8
sj,2012,25,11
sj,2012,26,13
sj,2012,27,14
sj,2012,28,15
sj,2012,29,18
sj,2012,30,24
sj,2012,31,31
sj,2012,32,37
sj,2012,33,41
sj,2012,34,43
sj,2012,35,44
sj,2012,36,46
sj,2012,37,49
sj,2012,38,53
sj,2012,39,57
sj,2012,40,61
sj,2012,41,64
sj,2012,42,65
sj,2012,43,62
sj,2012,44,59
sj,2012,45,57
sj,2012,46,57
sj,2012,47,57
sj,2012,48,54
sj,2012,49,47
sj,2012,50,39
sj,2012,51,31
sj,2013,1,28
sj,2013,2,27
sj,2013,3,28
sj,2013,4,27
sj,2013,5,25
sj,2013,6,22
sj,2013,7,19
sj,2013,8,16
sj,2013,9,15
sj,2013,10,14
sj,2013,11,12
sj,2013,12,10
sj,2013,13,8
sj,2013,14,6
sj,2013,15,5
sj,2013,16,5
sj,2013,17,5
iq,2010,26,3
iq,2010,27,4
iq,2010,28,4
iq,2010,29,4
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,4
iq,2010,36,5
iq,2010,37,6
iq,2010,38,7
iq,2010,39,9
iq,2010,40,9
iq,2010,41,10
iq,2010,42,12
iq,2010,43,13
iq,2010,44,12
iq,2010,45,10
iq,2010,46,9
iq,2010,47,11
iq,2010,48,15
iq,2010,49,17
iq,2010,50,15
iq,2010,51,10
iq,2011,52,6
iq,2011,1,7
iq,2011,2,11
iq,2011,3,15
iq,2011,4,16
iq,2011,5,14
iq,2011,6,13
iq,2011,7,13
iq,2011,8,13
iq,2011,9,11
iq,2011,10,9
iq,2011,11,7
iq,2011,12,6
iq,2011,13,7
iq,2011,14,7
iq,2011,15,6
iq,2011,16,5
iq,2011,17,5
iq,2011,18,5
iq,2011,19,5
iq,2011,20,5
iq,2011,21,4
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,3
iq,2011,32,3
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,5
iq,2011,38,7
iq,2011,39,8
iq,2011,40,9
iq,2011,41,10
iq,2011,42,11
iq,2011,43,13
iq,2011,44,12
iq,2011,45,10
iq,2011,46,9
iq,2011,47,10
iq,2011,48,14
iq,2011,49,17
iq,2011,50,16
iq,2011,51,11
iq,2012,52,6
iq,2012,1,6
iq,2012,2,10
iq,2012,3,14
iq,2012,4,15
iq,2012,5,14
iq,2012,6,13
iq,2012,7,12
iq,2012,8,13
iq,2012,9,12
iq,2012,10,9
iq,2012,11,7
iq,2012,12,6
iq,2012,13,6
iq,2012,14,7
iq,2012,15,6
iq,2012,16,5
iq,2012,17,5
iq,2012,18,5
iq,2012,19,5
iq,2012,20,5
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
