city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,17
sj,2008,20,5
sj,2008,21,38
sj,2008,22,17
sj,2008,23,16
sj,2008,24,11
sj,2008,25,17
sj,2008,26,48
sj,2008,27,44
sj,2008,28,27
sj,2008,29,60
sj,2008,30,27
sj,2008,31,23
sj,2008,32,35
sj,2008,33,30
sj,2008,34,38
sj,2008,35,36
sj,2008,36,73
sj,2008,37,41
sj,2008,38,38
sj,2008,39,17
sj,2008,40,37
sj,2008,41,36
sj,2008,42,20
sj,2008,43,25
sj,2008,44,18
sj,2008,45,10
sj,2008,46,14
sj,2008,47,13
sj,2008,48,25
sj,2008,49,12
sj,2008,50,25
sj,2008,51,22
sj,2008,52,8
sj,2009,1,7
sj,2009,2,9
sj,2009,3,17
sj,2009,4,10
sj,2009,5,10
sj,2009,6,5
sj,2009,7,21
sj,2009,8,13
sj,2009,9,20
sj,2009,10,5
sj,2009,11,22
sj,2009,12,11
sj,2009,13,9
sj,2009,14,11
sj,2009,15,10
sj,2009,16,5
sj,2009,17,16
sj,2009,18,10
sj,2009,19,17
sj,2009,20,17
sj,2009,21,17
sj,2009,22,10
sj,2009,23,10
sj,2009,24,13
sj,2009,25,17
sj,2009,26,12
sj,2009,27,26
sj,2009,28,33
sj,2009,29,38
sj,2009,30,34
sj,2009,31,27
sj,2009,32,38
sj,2009,33,53
sj,2009,34,35
sj,2009,35,35
sj,2009,36,34
sj,2009,37,32
sj,2009,38,24
sj,2009,39,45
sj,2009,40,72
sj,2009,41,41
sj,2009,42,36
sj,2009,43,18
sj,2009,44,18
sj,2009,45,13
sj,2009,46,19
sj,2009,47,12
sj,2009,48,21
sj,2009,49,21
sj,2009,50,25
sj,2009,51,44
sj,2009,52,10
sj,2010,53,12
sj,2010,1,12
sj,2010,2,12
sj,2010,3,17
sj,2010,4,7
sj,2010,5,24
sj,2010,6,15
sj,2010,7,11
sj,2010,8,10
sj,2010,9,12
sj,2010,10,18
sj,2010,11,7
sj,2010,12,16
sj,2010,13,9
sj,2010,14,7
sj,2010,15,14
sj,2010,16,7
sj,2010,17,18
sj,2010,18,13
sj,2010,19,11
sj,2010,20,26
sj,2010,21,12
sj,2010,22,19
sj,2010,23,35
sj,2010,24,30
sj,2010,25,23
sj,2010,26,21
sj,2010,27,19
sj,2010,28,36
sj,2010,29,19
sj,2010,30,26
sj,2010,31,35
sj,2010,32,72
sj,2010,33,55
sj,2010,34,38
sj,2010,35,106
sj,2010,36,82
sj,2010,37,35
sj,2010,38,40
sj,2010,39,20
sj,2010,40,36
sj,2010,41,34
sj,2010,42,36
sj,2010,43,18
sj,2010,44,20
sj,2010,45,33
sj,2010,46,21
sj,2010,47,29
sj,2010,48,17
sj,2010,49,14
sj,2010,50,10
sj,2010,51,12
sj,2011,52,18
sj,2011,1,28
sj,2011,2,10
sj,2011,3,11
sj,2011,4,13
sj,2011,5,13
sj,2011,6,13
sj,2011,7,7
sj,2011,8,10
sj,2011,9,10
sj,2011,10,7
sj,2011,11,8
sj,2011,12,17
sj,2011,13,27
sj,2011,14,20
