city,year,weekofyear,total_cases
sj,2008,18,26
sj,2008,19,26
sj,2008,20,23
sj,2008,21,29
sj,2008,22,31
sj,2008,23,37
sj,2008,24,31
sj,2008,25,31
sj,2008,26,37
sj,2008,27,39
sj,2008,28,41
sj,2008,29,39
sj,2008,30,44
sj,2008,31,39
sj,2008,32,41
sj,2008,33,39
sj,2008,34,42
sj,2008,35,41
sj,2008,36,39
sj,2008,37,42
sj,2008,38,44
sj,2008,39,34
sj,2008,40,39
sj,2008,41,41
sj,2008,42,32
sj,2008,43,36
sj,2008,44,37
sj,2008,45,37
sj,2008,46,37
sj,2008,47,34
sj,2008,48,34
sj,2008,49,30
sj,2008,50,28
sj,2008,51,30
sj,2008,52,25
sj,2009,1,19
sj,2009,2,27
sj,2009,3,29
sj,2009,4,26
sj,2009,5,26
sj,2009,6,25
sj,2009,7,27
sj,2009,8,25
sj,2009,9,30
sj,2009,10,26
sj,2009,11,31
sj,2009,12,25
sj,2009,13,22
sj,2009,14,25
sj,2009,15,25
sj,2009,16,26
sj,2009,17,26
sj,2009,18,26
sj,2009,19,25
sj,2009,20,32
sj,2009,21,33
sj,2009,22,34
sj,2009,23,31
sj,2009,24,37
sj,2009,25,37
sj,2009,26,39
sj,2009,27,35
sj,2009,28,39
sj,2009,29,41
sj,2009,30,39
sj,2009,31,42
sj,2009,32,39
sj,2009,33,39
sj,2009,34,41
sj,2009,35,39
sj,2009,36,39
sj,2009,37,34
sj,2009,38,37
sj,2009,39,39
sj,2009,40,39
sj,2009,41,41
sj,2009,42,44
sj,2009,43,41
sj,2009,44,39
sj,2009,45,37
sj,2009,46,32
sj,2009,47,37
sj,2009,48,34
sj,2009,49,42
sj,2009,50,34
sj,2009,51,37
sj,2009,52,32
sj,2010,53,17
sj,2010,1,28
sj,2010,2,26
sj,2010,3,26
sj,2010,4,26
sj,2010,5,26
sj,2010,6,26
sj,2010,7,24
sj,2010,8,26
sj,2010,9,30
sj,2010,10,25
sj,2010,11,25
sj,2010,12,28
sj,2010,13,36
sj,2010,14,26
sj,2010,15,26
sj,2010,16,26
sj,2010,17,34
sj,2010,18,34
sj,2010,19,34
sj,2010,20,37
sj,2010,21,39
sj,2010,22,37
sj,2010,23,39
sj,2010,24,41
sj,2010,25,34
sj,2010,26,36
sj,2010,27,39
sj,2010,28,41
sj,2010,29,36
sj,2010,30,32
sj,2010,31,41
sj,2010,32,39
sj,2010,33,39
sj,2010,34,42
sj,2010,35,39
sj,2010,36,42
sj,2010,37,39
sj,2010,38,39
sj,2010,39,39
sj,2010,40,39
sj,2010,41,42
sj,2010,42,42
sj,2010,43,39
sj,2010,44,35
sj,2010,45,34
sj,2010,46,30
sj,2010,47,34
sj,2010,48,26
sj,2010,49,27
sj,2010,50,31
sj,2010,51,26
sj,2011,52,26
sj,2011,1,31
sj,2011,2,26
sj,2011,3,28
sj,2011,4,28
sj,2011,5,28
sj,2011,6,26
sj,2011,7,26
sj,2011,8,25
sj,2011,9,25
sj,2011,10,25
sj,2011,11,27
sj,2011,12,25
sj,2011,13,25
sj,2011,14,25
sj,2011,15,26
sj,2011,16,28
sj,2011,17,26
sj,2011,18,33
sj,2011,19,26
sj,2011,20,25
sj,2011,21,26
sj,2011,22,37
sj,2011,23,28
sj,2011,24,34
sj,2011,25,36
sj,2011,26,34
sj,2011,27,37
sj,2011,28,44
sj,2011,29,34
sj,2011,30,39
sj,2011,31,41
sj,2011,32,34
sj,2011,33,44
sj,2011,34,37
sj,2011,35,34
sj,2011,36,39
sj,2011,37,39
sj,2011,38,32
sj,2011,39,44
sj,2011,40,41
sj,2011,41,36
sj,2011,42,36
sj,2011,43,34
sj,2011,44,34
sj,2011,45,32
sj,2011,46,34
sj,2011,47,34
sj,2011,48,34
sj,2011,49,30
sj,2011,50,43
sj,2011,51,26
sj,2012,52,26
sj,2012,1,30
sj,2012,2,26
sj,2012,3,26
sj,2012,4,25
sj,2012,5,25
sj,2012,6,26
sj,2012,7,26
sj,2012,8,30
sj,2012,9,26
sj,2012,10,25
sj,2012,11,27
sj,2012,12,25
sj,2012,13,25
sj,2012,14,25
sj,2012,15,25
sj,2012,16,30
sj,2012,17,25
sj,2012,18,34
sj,2012,19,30
sj,2012,20,37
sj,2012,21,34
sj,2012,22,37
sj,2012,23,39
sj,2012,24,37
sj,2012,25,39
sj,2012,26,39
sj,2012,27,39
sj,2012,28,36
sj,2012,29,39
sj,2012,30,39
sj,2012,31,39
sj,2012,32,39
sj,2012,33,36
sj,2012,34,39
sj,2012,35,37
sj,2012,36,41
sj,2012,37,41
sj,2012,38,41
sj,2012,39,39
sj,2012,40,42
sj,2012,41,39
sj,2012,42,36
sj,2012,43,39
sj,2012,44,39
sj,2012,45,39
sj,2012,46,37
sj,2012,47,39
sj,2012,48,37
sj,2012,49,31
sj,2012,50,30
sj,2012,51,26
sj,2013,1,25
sj,2013,2,29
sj,2013,3,31
sj,2013,4,27
sj,2013,5,26
sj,2013,6,25
sj,2013,7,26
sj,2013,8,26
sj,2013,9,26
sj,2013,10,19
sj,2013,11,27
sj,2013,12,25
sj,2013,13,25
sj,2013,14,25
sj,2013,15,29
sj,2013,16,34
sj,2013,17,26
iq,2010,26,10
iq,2010,27,8
iq,2010,28,10
iq,2010,29,10
iq,2010,30,8
iq,2010,31,9
iq,2010,32,8
iq,2010,33,9
iq,2010,34,8
